dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
livecodebench,mentored_dec,0.35,90,2.610046941898833,3738.6,0.8444444444444444
livecodebench,mentored_dec,0.75,90,3.2822584157703667,4312.577777777778,0.8444444444444444
livecodebench,mentored_dec,0.15,90,2.3850420734642457,3732.7444444444445,0.8666666666666667
livecodebench,cactus,0.03,90,2.9964583006128476,4536.488888888889,0.7888888888888889
livecodebench,cactus,0.08,90,3.4250446868363573,4731.555555555556,0.7
livecodebench,cactus,0.18,90,3.855511671840003,5314.333333333333,0.6111111111111112
livecodebench,spec_casc_opt,-0.3,90,2.6898140281151823,3813.9333333333334,0.8666666666666667
livecodebench,spec_casc_opt,0.05,90,3.2874690190165894,5668.655555555555,0.4888888888888889
livecodebench,r_fuzzy,0.15,90,2.772956973213951,4457.544444444445,0.4666666666666667
livecodebench,r_fuzzy,0.25,90,3.50919417632454,5714.366666666667,0.34444444444444444
livecodebench,r_fuzzy,0.03,90,2.216106332443075,3489.6222222222223,0.7
livecodebench,spec_casc_tok,0.8,90,2.6647137941424974,4010.4222222222224,0.8777777777777778
livecodebench,spec_casc_tok,0.15,90,2.32121070308609,3470.133333333333,0.9222222222222223
livecodebench,strict,strict,90,2.1644534160372544,3456.2444444444445,0.8888888888888888
